Location,Education Level,TimeFrame,DataFormat,Data,Fips
Riverdale,Less than High School Degree,2017,Number,13845,208
Williamsbridge,Less than High School Degree,2017,Number,20069,212
Throgs Neck,Less than High School Degree,2017,Number,12268,210
Pelham Parkway,Less than High School Degree,2017,Number,17150,211
Morrisania,Less than High School Degree,2017,Number,20471.57803,203
East Tremont,Less than High School Degree,2017,Number,21371.42197,206
Bedford Park,Less than High School Degree,2017,Number,25800,207
University Heights,Less than High School Degree,2017,Number,32345,205
Concourse/Highbridge,Less than High School Degree,2017,Number,30206,204
Unionport/Soundview,Less than High School Degree,2017,Number,33805,209
Mott Haven,Less than High School Degree,2017,Number,25669.42056,201
Hunts Point,Less than High School Degree,2017,Number,14657.57944,202
Washington Heights,Less than High School Degree,2017,Number,47466,112
Manhattanville,Less than High School Degree,2017,Number,18267,109
Central Harlem,Less than High School Degree,2017,Number,18957,110
East Harlem,Less than High School Degree,2017,Number,25741,111
Upper East Side,Less than High School Degree,2017,Number,3429,108
Upper West Side,Less than High School Degree,2017,Number,5777,107
Chelsea/Clinton,Less than High School Degree,2017,Number,5542.19277,104
Midtown Business District,Less than High School Degree,2017,Number,2773.80723,105
Murray Hill/Stuyvesant,Less than High School Degree,2017,Number,4559,106
Lower East Side,Less than High School Degree,2017,Number,37572,103
Battery Park/Tribeca,Less than High School Degree,2017,Number,3081.73251,101
Greenwich Village,Less than High School Degree,2017,Number,4549.26749,102
Tottenville,Less than High School Degree,2017,Number,9181,503
South Beach,Less than High School Degree,2017,Number,11374,502
St. George,Less than High School Degree,2017,Number,18476,501
Williamsburg/Greenpoint,Less than High School Degree,2017,Number,16919,301
Bushwick,Less than High School Degree,2017,Number,22880,304
Bedford Stuyvesant,Less than High School Degree,2017,Number,15405,303
Fort Greene/Brooklyn Hts,Less than High School Degree,2017,Number,10228,302
Park Slope,Less than High School Degree,2017,Number,5329,306
Crown Heights North,Less than High School Degree,2017,Number,18921,308
Brownsville,Less than High School Degree,2017,Number,15225,316
East New York,Less than High School Degree,2017,Number,17193,305
Canarsie,Less than High School Degree,2017,Number,15129,318
East Flatbush,Less than High School Degree,2017,Number,11625,317
Crown Heights South,Less than High School Degree,2017,Number,9100,309
Sunset Park,Less than High School Degree,2017,Number,37458,307
Bay Ridge,Less than High School Degree,2017,Number,17122,310
Borough Park,Less than High School Degree,2017,Number,18733,312
Flatbush/Midwood,Less than High School Degree,2017,Number,11545,314
Sheepshead Bay,Less than High School Degree,2017,Number,16635,315
Bensonhurst,Less than High School Degree,2017,Number,34810,311
Coney Island,Less than High School Degree,2017,Number,17140,313
Astoria,Less than High School Degree,2017,Number,14689,401
Jackson Heights,Less than High School Degree,2017,Number,29580,403
Flushing,Less than High School Degree,2017,Number,48697,407
Bayside,Less than High School Degree,2017,Number,13578,411
Queens Village,Less than High School Degree,2017,Number,17328,413
Fresh Meadows/Briarwood,Less than High School Degree,2017,Number,15357,408
Elmhurst/Corona,Less than High School Degree,2017,Number,28875,404
Rego Park/Forest Hills,Less than High School Degree,2017,Number,7596,406
Sunnyside/Woodside,Less than High School Degree,2017,Number,14450,402
Ridgewood/Glendale,Less than High School Degree,2017,Number,21483,405
Woodhaven,Less than High School Degree,2017,Number,21431,409
Jamaica/St. Albans,Less than High School Degree,2017,Number,33934,412
Howard Beach,Less than High School Degree,2017,Number,21890,410
The Rockaways,Less than High School Degree,2017,Number,16096,414
Bronx,Less than High School Degree,2017,Number,267658,36005
Brooklyn,Less than High School Degree,2017,Number,311397,36047
Manhattan,Less than High School Degree,2017,Number,177715,36061
Queens,Less than High School Degree,2017,Number,304984,36081
Staten Island,Less than High School Degree,2017,Number,39031,36085
New York City,Less than High School Degree,2017,Number,1100785,3651000
Riverdale,Less than High School Degree,2017,Percent,0.17787,208
Williamsbridge,Less than High School Degree,2017,Percent,0.19784,212
Throgs Neck,Less than High School Degree,2017,Percent,0.14843,210
Pelham Parkway,Less than High School Degree,2017,Percent,0.20068,211
Morrisania,Less than High School Degree,2017,Percent,0.36597,203
East Tremont,Less than High School Degree,2017,Percent,0.36597,206
Bedford Park,Less than High School Degree,2017,Percent,0.29377,207
University Heights,Less than High School Degree,2017,Percent,0.36659,205
Concourse/Highbridge,Less than High School Degree,2017,Percent,0.32054,204
Unionport/Soundview,Less than High School Degree,2017,Percent,0.27512,209
Mott Haven,Less than High School Degree,2017,Percent,0.4099,201
Hunts Point,Less than High School Degree,2017,Percent,0.4099,202
Washington Heights,Less than High School Degree,2017,Percent,0.29203,112
Manhattanville,Less than High School Degree,2017,Percent,0.18887,109
Central Harlem,Less than High School Degree,2017,Percent,0.17801,110
East Harlem,Less than High School Degree,2017,Percent,0.28639,111
