Location,TimeFrame,DataFormat,Data,Fips
Astoria,2023,Dollars,84590,401
Battery Park/Tribeca,2023,Dollars,198945,101
Bay Ridge,2023,Dollars,88566,310
Bayside,2023,Dollars,107607,411
Bedford Park,2023,Dollars,42387,207
Bedford Stuyvesant,2023,Dollars,75184,303
Bensonhurst,2023,Dollars,68996,311
Borough Park,2023,Dollars,67187,312
Bronx,2023,Dollars,46838,36005
Brooklyn,2023,Dollars,76912,36047
Brownsville,2023,Dollars,41876,316
Bushwick,2023,Dollars,78456,304
Canarsie,2023,Dollars,88188,318
Central Harlem,2023,Dollars,48977,110
Chelsea/Clinton,2023,Dollars,122723,104
Concourse/Highbridge,2023,Dollars,37937,204
Coney Island,2023,Dollars,41428,313
Crown Heights North,2023,Dollars,91506,308
Crown Heights South,2023,Dollars,67767,309
East Flatbush,2023,Dollars,66236,317
East Harlem,2023,Dollars,45233,111
East New York,2023,Dollars,49345,305
East Tremont,2023,Dollars,30846,206
Elmhurst/Corona,2023,Dollars,70784,404
Flatbush/Midwood,2023,Dollars,79319,314
Flushing,2023,Dollars,62308,407
Fort Greene/Brooklyn Hts,2023,Dollars,151134,302
Fresh Meadows/Briarwood,2023,Dollars,78065,408
Greenwich Village,2023,Dollars,198945,102
Howard Beach,2023,Dollars,89142,410
Hunts Point,2023,Dollars,33940,202
Jackson Heights,2023,Dollars,75083,403
Jamaica/St. Albans,2023,Dollars,75235,412
Lower East Side,2023,Dollars,54482,103
Manhattan,2023,Dollars,101078,36061
Manhattanville,2023,Dollars,54508,109
Midtown Business District,2023,Dollars,144175,105
Morrisania,2023,Dollars,30846,203
Mott Haven,2023,Dollars,33940,201
Murray Hill/Stuyvesant,2023,Dollars,144175,106
New York City,2023,Dollars,76577,3651000
Park Slope,2023,Dollars,159851,306
Pelham Parkway,2023,Dollars,58881,211
Queens,2023,Dollars,81929,36081
Queens Village,2023,Dollars,103300,413
Rego Park/Forest Hills,2023,Dollars,91722,406
Ridgewood/Glendale,2023,Dollars,83966,405
Riverdale,2023,Dollars,75218,208
Sheepshead Bay,2023,Dollars,68903,315
South Beach,2023,Dollars,96471,502
St. George,2023,Dollars,72834,501
Staten Island,2023,Dollars,95543,36085
Sunnyside/Woodside,2023,Dollars,93817,402
Sunset Park,2023,Dollars,87149,307
The Rockaways,2023,Dollars,52797,414
Throgs Neck,2023,Dollars,71021,210
Tottenville,2023,Dollars,112515,503
Unionport/Soundview,2023,Dollars,45603,209
University Heights,2023,Dollars,34756,205
Upper East Side,2023,Dollars,159241,108
Upper West Side,2023,Dollars,150017,107
Washington Heights,2023,Dollars,61527,112
Williamsbridge,2023,Dollars,67973,212
Williamsburg/Greenpoint,2023,Dollars,111492,301
Woodhaven,2023,Dollars,99326,409
Astoria,2022,Dollars,84270.09543,401
Battery Park/Tribeca,2022,Dollars,165381.8922,101
Bay Ridge,2022,Dollars,84413.37131,310
Bayside,2022,Dollars,103064.153,411
Bedford Park,2022,Dollars,43215.32707,207
Bedford Stuyvesant,2022,Dollars,73842.10328,303
Bensonhurst,2022,Dollars,61477.81032,311
Borough Park,2022,Dollars,68586.57797,312
Bronx,2022,Dollars,47257.16034,36005
Brooklyn,2022,Dollars,76778.22054,36047
Brownsville,2022,Dollars,36785.5625,316
Bushwick,2022,Dollars,94226.7307,304
Canarsie,2022,Dollars,87493.80268,318
Central Harlem,2022,Dollars,51993.57016,110
Chelsea/Clinton,2022,Dollars,114323.7681,104
Concourse/Highbridge,2022,Dollars,44605.51837,204
Coney Island,2022,Dollars,44795.51465,313
Crown Heights North,2022,Dollars,81602.87999,308
Crown Heights South,2022,Dollars,80067.33635,309
East Flatbush,2022,Dollars,73583.58376,317
East Harlem,2022,Dollars,36929.8766,111
East New York,2022,Dollars,56511.95146,305
East Tremont,2022,Dollars,32309.74866,206
Elmhurst/Corona,2022,Dollars,66475.85435,404
Flatbush/Midwood,2022,Dollars,74078.81995,314
Flushing,2022,Dollars,73203.59122,407
Fort Greene/Brooklyn Hts,2022,Dollars,136233.5569,302
Fresh Meadows/Briarwood,2022,Dollars,81072.34395,408
Greenwich Village,2022,Dollars,165381.8922,102
Howard Beach,2022,Dollars,97752.56317,410
Hunts Point,2022,Dollars,32861.04932,202
Jackson Heights,2022,Dollars,80466.01705,403
Jamaica/St. Albans,2022,Dollars,75164.80957,412
Lower East Side,2022,Dollars,58541.69306,103
Manhattan,2022,Dollars,99531.05287,36061
Manhattanville,2022,Dollars,61745.67392,109
Midtown Business District,2022,Dollars,148225.1249,105
Morrisania,2022,Dollars,32309.74866,203
Mott Haven,2022,Dollars,32861.04932,201
Murray Hill/Stuyvesant,2022,Dollars,148225.1249,106
New York City,2022,Dollars,77549.62618,3651000
Park Slope,2022,Dollars,162417.7427,306
Pelham Parkway,2022,Dollars,64025.62919,211
Queens,2022,Dollars,83636.77452,36081
Queens Village,2022,Dollars,104915.3188,413
Rego Park/Forest Hills,2022,Dollars,93961.9818,406
Ridgewood/Glendale,2022,Dollars,89443.60049,405
Riverdale,2022,Dollars,79186.91646,208
Sheepshead Bay,2022,Dollars,63370.50543,315
South Beach,2022,Dollars,95241.08239,502
St. George,2022,Dollars,84352.11568,501
Staten Island,2022,Dollars,96725.75271,36085
Sunnyside/Woodside,2022,Dollars,84270.09543,402
Sunset Park,2022,Dollars,86382.89551,307
The Rockaways,2022,Dollars,66737.48856,414
Throgs Neck,2022,Dollars,63774.37729,210
Tottenville,2022,Dollars,112519.3227,503
Unionport/Soundview,2022,Dollars,48697.18674,209
University Heights,2022,Dollars,33274.26526,205
Upper East Side,2022,Dollars,148515.8296,108
Upper West Side,2022,Dollars,145617.0887,107
Washington Heights,2022,Dollars,62187.96033,112
Williamsbridge,2022,Dollars,62795.32546,212
Williamsburg/Greenpoint,2022,Dollars,98747.18847,301
Woodhaven,2022,Dollars,84951.17496,409
Park Slope,2021,Dollars,159436.3949,306
Upper East Side,2021,Dollars,143787.2104,108
Fort Greene/Brooklyn Hts,2021,Dollars,132803.2586,302
Murray Hill/Stuyvesant,2021,Dollars,129542.5528,106
Upper West Side,2021,Dollars,125391.7625,107
Tottenville,2021,Dollars,113684.0662,503
Williamsburg/Greenpoint,2021,Dollars,111747.4713,301
Queens Village,2021,Dollars,107171.4674,413
Rego Park/Forest Hills,2021,Dollars,97950.05924,406
Bayside,2021,Dollars,95541.98396,411
Staten Island,2021,Dollars,94796.20767,36085
Greenwich Village,2021,Dollars,93610.7698,102
Manhattan,2021,Dollars,93012.73381,36061
Howard Beach,2021,Dollars,90995.7229,410
South Beach,2021,Dollars,89351.04935,502
Sunnyside/Woodside,2021,Dollars,88907.10866,402
Canarsie,2021,Dollars,84095.36447,318
Woodhaven,2021,Dollars,82847.26324,409
Fresh Meadows/Briarwood,2021,Dollars,82060.72813,408
Bay Ridge,2021,Dollars,81113.36091,310
Astoria,2021,Dollars,81009.81147,401
Queens,2021,Dollars,80704.6711,36081
Crown Heights North,2021,Dollars,80527.31514,308
St. George,2021,Dollars,80115.32056,501
Bushwick,2021,Dollars,77752.41046,304
Ridgewood/Glendale,2021,Dollars,76809.44961,405
Jamaica/St. Albans,2021,Dollars,75659.38987,412
Bedford Stuyvesant,2021,Dollars,75588.88812,303
New York City,2021,Dollars,74904.80086,3651000
Brooklyn,2021,Dollars,74431.11725,36047
Flatbush/Midwood,2021,Dollars,72811.78026,314
Jackson Heights,2021,Dollars,72550.70348,403
Sheepshead Bay,2021,Dollars,70618.51499,315
Elmhurst/Corona,2021,Dollars,69899.17686,404
Crown Heights South,2021,Dollars,69353.88992,309
Riverdale,2021,Dollars,68566.25322,208
Chelsea/Clinton,2021,Dollars,68158.8384,104
Williamsbridge,2021,Dollars,67778.61652,212
Flushing,2021,Dollars,67082.41177,407
East Flatbush,2021,Dollars,66988.77664,317
Sunset Park,2021,Dollars,64818.64476,307
Borough Park,2021,Dollars,63621.21666,312
Battery Park/Tribeca,2021,Dollars,63413.14345,101
Pelham Parkway,2021,Dollars,63224.64433,211
Throgs Neck,2021,Dollars,62798.32908,210
Bensonhurst,2021,Dollars,61663.6916,311
Washington Heights,2021,Dollars,60275.68847,112
Manhattanville,2021,Dollars,59036.39995,109
East New York,2021,Dollars,58020.73417,305
The Rockaways,2021,Dollars,56889.40146,414
Lower East Side,2021,Dollars,54732.48865,103
Central Harlem,2021,Dollars,49824.90614,110
Bronx,2021,Dollars,47380.4784,36005
