,community_board,borough,latitude,longitude
0,Bronx Community Board 1,Bronx,40.819717,-73.913376
1,Bronx Community Board 10,Bronx,40.837337,-73.834305
2,Bronx Community Board 9,Bronx,40.823017,-73.85669
3,Bronx Community Board 6,Bronx,40.845684,-73.893295
4,Staten Island Community Board 1,Staten Island,40.619034,-74.06872
5,Queens Community Board 1,Queens,40.770737,-73.90308
6,Brooklyn Community Board 7,Brooklyn,40.650314,-74.00816
7,Manhattan Community Board 6,Manhattan,40.75124,-73.97346
8,Brooklyn Community Board 5,Brooklyn,40.67588,-73.87109
9,Queens Community Board 2,Queens,40.737747,-73.92236
10,Brooklyn Community Board 3,Brooklyn,40.680187,-73.94593
11,Brooklyn Community Board 6,Brooklyn,40.686295,-73.994675
12,Queens Community Board 4,Queens,40.746246,-73.85982
13,Staten Island Community Board 2,Staten Island,40.61431,-74.173996
14,Brooklyn Community Board 4,Brooklyn,40.68432,-73.90906
15,Bronx Community Board 3,Bronx,40.833187,-73.89702
16,Brooklyn Community Board 8,Brooklyn,40.673923,-73.92634
17,Manhattan Community Board 2,Manhattan,40.727882,-73.99856
18,Brooklyn Community Board 11,Brooklyn,40.598225,-73.99688
19,Manhattan Community Board 12,Manhattan,40.83933,-73.93934
20,Bronx Community Board 12,Bronx,40.89074,-73.858864
21,Queens Community Board 14,Queens,40.603935,-73.75234
22,Brooklyn Community Board 14,Brooklyn,40.629818,-73.961334
23,Manhattan Community Board 1,Manhattan,40.713,-74.00418
24,Bronx Community Board 11,Bronx,40.847347,-73.85571
25,Manhattan Community Board 4,Manhattan,40.753098,-73.9977
26,Manhattan Community Board 3,Manhattan,40.726784,-73.99081
27,Queens Community Board 12,Queens,40.70519,-73.79927
28,Brooklyn Community Board 17,Brooklyn,40.63693,-73.93728
29,Brooklyn Community Board 16,Brooklyn,40.670105,-73.91381
30,Queens Community Board 5,Queens,40.700874,-73.89374
31,Brooklyn Community Board 12,Brooklyn,40.629303,-73.998085
32,Brooklyn Community Board 13,Brooklyn,40.57555,-73.97979
33,Queens Community Board 10,Queens,40.676872,-73.81957
34,Queens Community Board 8,Queens,40.718494,-73.76517
35,Bronx Community Board 8,Bronx,40.906227,-73.90426
36,Manhattan Community Board 11,Manhattan,40.800224,-73.942566
37,Bronx Community Board 2,Bronx,40.82099,-73.8918
38,Manhattan Community Board 5,Manhattan,40.751358,-73.990364
39,Queens Community Board 13,Queens,40.718636,-73.73503
40,Brooklyn Community Board 10,Brooklyn,40.624844,-74.02453
41,Queens Community Board 7,Queens,40.77048,-73.83564
42,Brooklyn Community Board 18,Brooklyn,40.628815,-73.9162
43,Manhattan Community Board 9,Manhattan,40.815434,-73.95721
44,Bronx Community Board 5,Bronx,40.857857,-73.90934
45,Queens Community Board 11,Queens,40.770355,-73.73427
46,Manhattan Community Board 7,Manhattan,40.789078,-73.97624
47,Brooklyn Community Board 15,Brooklyn,40.577904,-73.93535
48,Queens Community Board 6,Queens,40.710102,-73.848564
49,Brooklyn Community Board 1,Brooklyn,40.718174,-73.94499
50,Bronx Community Board 4,Bronx,40.843246,-73.91041
51,Staten Island Community Board 3,Staten Island,40.54186,-74.20618
52,Manhattan Community Board 10,Manhattan,40.809258,-73.94898
53,Manhattan Community Board 8,Manhattan,40.76312,-73.96964
54,Queens Community Board 9,Queens,40.71398,-73.828835
55,Brooklyn Community Board 2,Brooklyn,40.69351,-73.98725
56,Bronx Community Board 7,Bronx,40.87441,-73.885315
57,Queens Community Board 3,Queens,40.749775,-73.8841
58,Brooklyn Community Board 9,Brooklyn,40.66763,-73.95072
