,pct,crime,year,count,crime_category,pct_2
0,1,MURDER & NON NEGL. MANSLAUGHTER                                ,2000,3.0,major,
1,1,RAPE                                  ,2000,12.0,major,
2,1,ROBBERY                               ,2000,252.0,major,
3,1,FELONY ASSAULT                        ,2000,139.0,major,
4,1,BURGLARY                              ,2000,475.0,major,
5,1,GRAND LARCENY                         ,2000,2358.0,major,
6,1,GRAND LARCENY OF MOTOR VEHICLE                                  ,2000,199.0,major,
7,5,MURDER & NON NEGL. MANSLAUGHTER                                ,2000,4.0,major,
8,5,RAPE                                  ,2000,9.0,major,
9,5,ROBBERY                               ,2000,351.0,major,
10,5,FELONY ASSAULT                        ,2000,190.0,major,
11,5,BURGLARY                              ,2000,285.0,major,
12,5,GRAND LARCENY                         ,2000,824.0,major,
13,5,GRAND LARCENY OF MOTOR VEHICLE                                  ,2000,117.0,major,
14,6,MURDER & NON NEGL. MANSLAUGHTER                                ,2000,0.0,major,
15,6,RAPE                                  ,2000,7.0,major,
16,6,ROBBERY                               ,2000,378.0,major,
17,6,FELONY ASSAULT                        ,2000,169.0,major,
18,6,BURGLARY                              ,2000,277.0,major,
19,6,GRAND LARCENY                         ,2000,1393.0,major,
20,6,GRAND LARCENY OF MOTOR VEHICLE                                  ,2000,163.0,major,
21,7,MURDER & NON NEGL. MANSLAUGHTER                                ,2000,0.0,major,
22,7,RAPE                                  ,2000,14.0,major,
23,7,ROBBERY                               ,2000,279.0,major,
24,7,FELONY ASSAULT                        ,2000,139.0,major,
25,7,BURGLARY                              ,2000,149.0,major,
26,7,GRAND LARCENY                         ,2000,258.0,major,
27,7,GRAND LARCENY OF MOTOR VEHICLE                                  ,2000,151.0,major,
28,9,MURDER & NON NEGL. MANSLAUGHTER                                ,2000,3.0,major,
29,9,RAPE                                  ,2000,12.0,major,
30,9,ROBBERY                               ,2000,332.0,major,
31,9,FELONY ASSAULT                        ,2000,249.0,major,
32,9,BURGLARY                              ,2000,347.0,major,
33,9,GRAND LARCENY                         ,2000,1012.0,major,
34,9,GRAND LARCENY OF MOTOR VEHICLE                                  ,2000,160.0,major,
35,10,MURDER & NON NEGL. MANSLAUGHTER                                ,2000,2.0,major,
36,10,RAPE                                  ,2000,10.0,major,
37,10,ROBBERY                               ,2000,191.0,major,
38,10,FELONY ASSAULT                        ,2000,140.0,major,
39,10,BURGLARY                              ,2000,184.0,major,
40,10,GRAND LARCENY                         ,2000,680.0,major,
41,10,GRAND LARCENY OF MOTOR VEHICLE                                  ,2000,191.0,major,
42,13,MURDER & NON NEGL. MANSLAUGHTER                                ,2000,2.0,major,
43,13,RAPE                                  ,2000,8.0,major,
