,year,community_board,metric,value
0,2006,Bronx Community Board 1,Asian Population,421.4999
1,2007,Bronx Community Board 1,Asian Population,445.28485
2,2008,Bronx Community Board 1,Asian Population,470.412
3,2009,Bronx Community Board 1,Asian Population,496.95703
4,2010,Bronx Community Board 1,Asian Population,525.0
5,2011,Bronx Community Board 1,Asian Population,554.6254
6,2012,Bronx Community Board 1,Asian Population,585.92255
7,2013,Bronx Community Board 1,Asian Population,618.9858
8,2014,Bronx Community Board 1,Asian Population,653.91473
9,2015,Bronx Community Board 1,Asian Population,690.81476
10,2016,Bronx Community Board 1,Asian Population,729.79694
11,2017,Bronx Community Board 1,Asian Population,770.97894
12,2018,Bronx Community Board 1,Asian Population,814.48474
13,2019,Bronx Community Board 1,Asian Population,860.4456
14,2020,Bronx Community Board 1,Asian Population,909.0
15,2021,Bronx Community Board 1,Asian Population,960.29425
16,2022,Bronx Community Board 1,Asian Population,1014.48303
17,2023,Bronx Community Board 1,Asian Population,1071.7297
18,2024,Bronx Community Board 1,Asian Population,1132.2067
19,2006,Bronx Community Board 1,Average Household Size,3.1107817
20,2007,Bronx Community Board 1,Average Household Size,3.0827086
21,2008,Bronx Community Board 1,Average Household Size,3.0548887
22,2009,Bronx Community Board 1,Average Household Size,3.02732
23,2010,Bronx Community Board 1,Average Household Size,3.0
24,2011,Bronx Community Board 1,Average Household Size,2.9729266
25,2012,Bronx Community Board 1,Average Household Size,2.9460976
26,2013,Bronx Community Board 1,Average Household Size,2.9195106
27,2014,Bronx Community Board 1,Average Household Size,2.8931634
28,2015,Bronx Community Board 1,Average Household Size,2.8670542
29,2016,Bronx Community Board 1,Average Household Size,2.8411806
30,2017,Bronx Community Board 1,Average Household Size,2.8155406
31,2018,Bronx Community Board 1,Average Household Size,2.7901316
32,2019,Bronx Community Board 1,Average Household Size,2.7649522
33,2020,Bronx Community Board 1,Average Household Size,2.74
34,2021,Bronx Community Board 1,Average Household Size,2.715273
35,2022,Bronx Community Board 1,Average Household Size,2.690769
36,2023,Bronx Community Board 1,Average Household Size,2.6664863
37,2024,Bronx Community Board 1,Average Household Size,2.6424227
38,2006,Bronx Community Board 1,Black Population,22219.553
39,2007,Bronx Community Board 1,Black Population,22575.996
40,2008,Bronx Community Board 1,Black Population,22938.156
41,2009,Bronx Community Board 1,Black Population,23306.127
42,2010,Bronx Community Board 1,Black Population,23680.0
43,2011,Bronx Community Board 1,Black Population,24059.871
44,2012,Bronx Community Board 1,Black Population,24445.836
45,2013,Bronx Community Board 1,Black Population,24837.992
46,2014,Bronx Community Board 1,Black Population,25236.44
47,2015,Bronx Community Board 1,Black Population,25641.28
48,2016,Bronx Community Board 1,Black Population,26052.613
49,2017,Bronx Community Board 1,Black Population,26470.545
50,2018,Bronx Community Board 1,Black Population,26895.182
51,2019,Bronx Community Board 1,Black Population,27326.63
52,2020,Bronx Community Board 1,Black Population,27765.0
53,2021,Bronx Community Board 1,Black Population,28210.402
54,2022,Bronx Community Board 1,Black Population,28662.95
55,2023,Bronx Community Board 1,Black Population,29122.756
56,2024,Bronx Community Board 1,Black Population,29589.94
57,2006,Bronx Community Board 1,Hispanic Population,63978.156
58,2007,Bronx Community Board 1,Hispanic Population,64204.164
59,2008,Bronx Community Board 1,Hispanic Population,64430.977
60,2009,Bronx Community Board 1,Hispanic Population,64658.586
61,2010,Bronx Community Board 1,Hispanic Population,64887.0
62,2011,Bronx Community Board 1,Hispanic Population,65116.223
63,2012,Bronx Community Board 1,Hispanic Population,65346.254
64,2013,Bronx Community Board 1,Hispanic Population,65577.09
65,2014,Bronx Community Board 1,Hispanic Population,65808.76
66,2015,Bronx Community Board 1,Hispanic Population,66041.234
67,2016,Bronx Community Board 1,Hispanic Population,66274.53
68,2017,Bronx Community Board 1,Hispanic Population,66508.66
69,2018,Bronx Community Board 1,Hispanic Population,66743.61
70,2019,Bronx Community Board 1,Hispanic Population,66979.39
71,2020,Bronx Community Board 1,Hispanic Population,67216.0
72,2021,Bronx Community Board 1,Hispanic Population,67453.445
73,2022,Bronx Community Board 1,Hispanic Population,67691.734
74,2023,Bronx Community Board 1,Hispanic Population,67930.87
75,2024,Bronx Community Board 1,Hispanic Population,68170.84
76,2006,Bronx Community Board 1,Household Population,86658.02
77,2007,Bronx Community Board 1,Household Population,87386.04
78,2008,Bronx Community Board 1,Household Population,88120.17
79,2009,Bronx Community Board 1,Household Population,88860.48
80,2010,Bronx Community Board 1,Household Population,89607.0
81,2011,Bronx Community Board 1,Household Population,90359.8
82,2012,Bronx Community Board 1,Household Population,91118.914
83,2013,Bronx Community Board 1,Household Population,91884.41
84,2014,Bronx Community Board 1,Household Population,92656.336
85,2015,Bronx Community Board 1,Household Population,93434.74
86,2016,Bronx Community Board 1,Household Population,94219.695
87,2017,Bronx Community Board 1,Household Population,95011.24
88,2018,Bronx Community Board 1,Household Population,95809.44
89,2019,Bronx Community Board 1,Household Population,96614.336
90,2020,Bronx Community Board 1,Household Population,97426.0
91,2021,Bronx Community Board 1,Household Population,98244.484
92,2022,Bronx Community Board 1,Household Population,99069.836
93,2023,Bronx Community Board 1,Household Population,99902.13
94,2024,Bronx Community Board 1,Household Population,100741.414
95,2006,Bronx Community Board 1,Housing Units,29731.209
96,2007,Bronx Community Board 1,Housing Units,30193.273
97,2008,Bronx Community Board 1,Housing Units,30662.52
98,2009,Bronx Community Board 1,Housing Units,31139.057
99,2010,Bronx Community Board 1,Housing Units,31623.0
100,2011,Bronx Community Board 1,Housing Units,32114.465
101,2012,Bronx Community Board 1,Housing Units,32613.568
102,2013,Bronx Community Board 1,Housing Units,33120.426
103,2014,Bronx Community Board 1,Housing Units,33635.164
104,2015,Bronx Community Board 1,Housing Units,34157.902
