,community_board,precinct
0,Bronx Community Board 1,40
1,Bronx Community Board 10,45
2,Bronx Community Board 9,43
3,Bronx Community Board 6,48
4,Staten Island Community Board 1,120
5,Staten Island Community Board 1,121
6,Queens Community Board 1,114
7,Brooklyn Community Board 7,72
8,Manhattan Community Board 6,13
9,Manhattan Community Board 6,17
10,Brooklyn Community Board 5,75
11,Queens Community Board 2,108
12,Brooklyn Community Board 3,79
13,Brooklyn Community Board 3,81
14,Brooklyn Community Board 6,76
15,Brooklyn Community Board 6,78
16,Queens Community Board 4,110
17,Staten Island Community Board 2,121
18,Staten Island Community Board 2,122
19,Brooklyn Community Board 4,83
20,Bronx Community Board 3,42
21,Brooklyn Community Board 8,77
22,Brooklyn Community Board 8,78
23,Manhattan Community Board 2,1
24,Manhattan Community Board 2,5
25,Manhattan Community Board 2,6
26,Manhattan Community Board 2,9
27,Brooklyn Community Board 11,62
28,Manhattan Community Board 12,33
29,Manhattan Community Board 12,34
30,Bronx Community Board 12,47
31,Queens Community Board 14,100
32,Queens Community Board 14,101
33,Brooklyn Community Board 14,70
34,Manhattan Community Board 1,1
35,Manhattan Community Board 1,5
36,Manhattan Community Board 1,7
37,Bronx Community Board 11,49
38,Manhattan Community Board 4,10
39,Manhattan Community Board 4,13
40,Manhattan Community Board 4,
41,Manhattan Community Board 4,
42,Manhattan Community Board 3,5
43,Manhattan Community Board 3,7
44,Manhattan Community Board 3,9
45,Queens Community Board 12,103
46,Queens Community Board 12,113
47,Brooklyn Community Board 17,67
48,Brooklyn Community Board 16,73
49,Queens Community Board 5,104
50,Brooklyn Community Board 12,66
51,Brooklyn Community Board 13,60
52,Queens Community Board 10,106
53,Queens Community Board 8,107
54,Bronx Community Board 8,50
55,Manhattan Community Board 11,23
56,Manhattan Community Board 11,25
57,Bronx Community Board 2,41
58,Manhattan Community Board 5,10
59,Manhattan Community Board 5,
60,Manhattan Community Board 5,
61,Queens Community Board 13,105
62,Brooklyn Community Board 10,68
63,Queens Community Board 7,109
64,Brooklyn Community Board 18,63
65,Brooklyn Community Board 18,69
66,Manhattan Community Board 9,26
67,Manhattan Community Board 9,30
68,Bronx Community Board 5,46
69,Queens Community Board 11,111
70,Manhattan Community Board 7,20
71,Manhattan Community Board 7,24
72,Manhattan Community Board 7,
73,Brooklyn Community Board 15,61
74,Queens Community Board 6,112
75,Brooklyn Community Board 1,90
76,Brooklyn Community Board 1,94
77,Bronx Community Board 4,44
78,Staten Island Community Board 3,123
79,Manhattan Community Board 10,28
80,Manhattan Community Board 10,32
81,Manhattan Community Board 8,19
82,Manhattan Community Board 8,
83,Queens Community Board 9,102
84,Brooklyn Community Board 2,84
85,Brooklyn Community Board 2,88
86,Bronx Community Board 7,52
87,Queens Community Board 3,115
88,Brooklyn Community Board 9,71
