,community_board,year,rent
0,Manhattan Community Board 7,2021,2157.0
1,Brooklyn Community Board 1,2021,2249.0
2,Brooklyn Community Board 17,2021,1385.0
3,Bronx Community Board 9,2021,1179.0
4,Bronx Community Board 1,2021,599.0
5,Staten Island Community Board 2,2019,1297.7747
6,Queens Community Board 2,2019,1830.5454
7,Brooklyn Community Board 14,2019,1473.2633
8,Manhattan Community Board 10,2019,1168.5227
9,Bronx Community Board 6,2019,1031.9148
10,Brooklyn Community Board 2,2018,2174.8528
11,Manhattan Community Board 9,2018,1538.2063
12,Brooklyn Community Board 12,2018,1525.388
13,Manhattan Community Board 3,2018,1156.8594
14,Queens Community Board 11,2017,1833.1531
15,Queens Community Board 1,2017,1704.7017
16,Brooklyn Community Board 15,2017,1408.6105
17,Brooklyn Community Board 9,2017,1283.4248
18,Manhattan Community Board 3,2017,1127.7593
19,Queens Community Board 10,2016,1530.5216
20,Manhattan Community Board 4,2015,2348.0
21,Manhattan Community Board 5,2015,2348.0
22,Queens Community Board 13,2015,1566.0812
23,Queens Community Board 9,2015,1468.4816
24,Brooklyn Community Board 8,2015,1247.4801
25,Brooklyn Community Board 12,2015,1363.0292
26,Bronx Community Board 7,2015,1204.8505
27,Brooklyn Community Board 16,2015,900.83325
28,Queens Community Board 11,2014,1607.3689
29,Queens Community Board 6,2014,1620.8478
30,Queens Community Board 3,2014,1432.1421
31,Brooklyn Community Board 17,2014,1220.9713
32,Manhattan Community Board 10,2014,981.71936
33,Brooklyn Community Board 6,2013,2063.385
34,Staten Island Community Board 3,2013,1174.5247
35,Queens Community Board 8,2013,1358.8977
36,Bronx Community Board 10,2013,1205.2535
37,Queens Community Board 7,2013,1388.4885
38,Brooklyn Community Board 7,2013,1332.7213
39,Bronx Community Board 7,2013,1113.067
40,Bronx Community Board 1,2013,827.4026
41,Brooklyn Community Board 18,2012,1283.3706
42,Queens Community Board 10,2012,1390.9933
43,Queens Community Board 9,2012,1418.7668
44,Queens Community Board 7,2012,1401.4083
45,Brooklyn Community Board 11,2012,1250.9681
46,Brooklyn Community Board 8,2012,1121.3582
47,Queens Community Board 10,2011,1354.6204
48,Queens Community Board 9,2011,1385.2999
49,Bronx Community Board 7,2011,1120.9838
50,Brooklyn Community Board 5,2011,1151.6633
51,Bronx Community Board 6,2011,879.0873
52,Queens Community Board 13,2010,1474.4758
53,Queens Community Board 3,2010,1356.7605
54,Manhattan Community Board 3,2010,1060.6517
55,Brooklyn Community Board 9,2010,1100.6992
56,Brooklyn Community Board 4,2010,1202.6383
57,Brooklyn Community Board 13,2010,956.2856
