,dbn,score,year
0,01M015,0.574,2008-2009
1,01M015,0.376,2009-2010
2,01M015,0.27,2010-2011
3,01M015,0.39,2011-2012
4,01M015,0.487,2012-2013
5,01M015,0.46893787,2014-2015
6,01M015,0.6933868,2015-2016
7,01M015,0.9859719,2016-2017
8,01M015,0.9599198,2017-2018
9,01M015,0.9739479,2018-2019
10,01M015,0.88727456,2019-2020
11,01M015,0.8006012,2020-2021
12,01M015,0.71392787,2021-2022
13,01M015,0.6272545,2022-2023
14,01M015,0.70941883,2023-2024
15,01M019,0.88,2008-2009
16,01M019,0.357,2009-2010
17,01M019,0.487,2010-2011
18,01M019,0.559,2011-2012
19,01M019,0.659,2012-2013
20,01M019,0.91382766,2014-2015
21,01M019,0.8557114,2015-2016
22,01M019,0.8476954,2016-2017
23,01M019,0.83967936,2017-2018
24,01M019,0.81963927,2018-2019
25,01M019,0.81963927,2019-2020
26,01M019,0.81963927,2020-2021
27,01M019,0.81963927,2021-2022
28,01M020,0.897,2008-2009
29,01M020,0.703,2009-2010
30,01M020,0.482,2010-2011
31,01M020,0.402,2011-2012
32,01M020,0.517,2012-2013
33,01M020,0.5851703,2014-2015
34,01M020,0.6272545,2015-2016
35,01M020,0.4428858,2016-2017
36,01M020,0.5891784,2017-2018
37,01M020,0.76553106,2018-2019
38,01M020,0.65981966,2019-2020
39,01M020,0.5541082,2020-2021
40,01M020,0.4483968,2021-2022
41,01M020,0.34268537,2022-2023
42,01M020,0.38076153,2023-2024
43,01M034,0.81362724,2014-2015
44,01M034,0.747495,2015-2016
45,01M034,0.5791583,2016-2017
46,01M034,0.54108214,2017-2018
47,01M034,0.3486974,2018-2019
48,01M034,0.3737475,2019-2020
49,01M034,0.3987976,2020-2021
50,01M034,0.4238477,2021-2022
51,01M034,0.4488978,2022-2023
52,01M034,0.48496994,2023-2024
53,01M063,0.678,2008-2009
54,01M063,0.54,2009-2010
55,01M063,0.49,2010-2011
56,01M063,0.593,2011-2012
57,01M063,0.415,2012-2013
58,01M063,0.7294589,2014-2015
59,01M063,0.8256513,2015-2016
60,01M063,0.9498998,2016-2017
61,01M063,0.98396796,2017-2018
62,01M063,0.63126254,2018-2019
63,01M063,0.59368736,2019-2020
64,01M063,0.55611223,2020-2021
65,01M063,0.51853704,2021-2022
66,01M063,0.48096192,2022-2023
67,01M063,0.501002,2023-2024
68,01M064,0.963,2008-2009
69,01M064,0.31,2009-2010
70,01M064,0.258,2010-2011
71,01M064,0.489,2011-2012
72,01M064,0.486,2012-2013
73,01M064,0.7174349,2014-2015
74,01M064,0.7294589,2015-2016
75,01M064,0.75551105,2016-2017
76,01M064,0.63126254,2017-2018
77,01M064,0.8316633,2018-2019
78,01M064,0.7640281,2019-2020
79,01M064,0.6963928,2020-2021
80,01M064,0.62875754,2021-2022
81,01M064,0.56112224,2022-2023
82,01M064,0.49298596,2023-2024
83,01M110,0.65,2008-2009
84,01M110,0.254,2009-2010
85,01M110,0.381,2010-2011
86,01M110,0.341,2011-2012
87,01M110,0.742,2012-2013
88,01M110,0.8076152,2014-2015
89,01M110,0.8517034,2015-2016
90,01M110,0.9539078,2016-2017
91,01M110,0.8476954,2017-2018
92,01M110,0.7735471,2018-2019
93,01M110,0.76553106,2019-2020
94,01M110,0.757515,2020-2021
95,01M110,0.749499,2021-2022
96,01M110,0.741483,2022-2023
97,01M110,0.7755511,2023-2024
98,01M134,0.67,2008-2009
99,01M134,0.542,2009-2010
100,01M134,0.346,2010-2011
101,01M134,0.38,2011-2012
102,01M134,0.447,2012-2013
103,01M134,0.749499,2014-2015
104,01M134,0.8176353,2015-2016
105,01M134,0.61723447,2016-2017
106,01M134,0.69138277,2017-2018
107,01M134,0.7334669,2018-2019
108,01M134,0.63877755,2019-2020
109,01M134,0.5440882,2020-2021
110,01M134,0.4493988,2021-2022
111,01M134,0.35470942,2022-2023
